,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第17案同意票數,第17案有效票數,第17案同意率,第18案同意票數,第18案有效票數,第18案同意率,第19案同意票數,第19案有效票數,第19案同意率,第20案同意票數,第20案有效票數,第20案同意率
68,臺東縣,成功鎮,忠孝里,133,75803,570,493,156.0,228.0,0.6842,159.0,231.0,0.6883,155.0,228.0,0.6798,157.0,230.0,0.6826
69,新北市,瑞芳區,濓新里,69,39361,570,482,35.0,79.0,0.443,34.0,79.0,0.4304,34.0,78.0,0.4359,37.0,79.0,0.4684
70,南投縣,國姓鄉,長流村,249,142194,571,524,234.0,370.0,0.6324,227.0,367.0,0.6185,230.0,368.0,0.625,230.0,367.0,0.6267
71,花蓮縣,萬榮鄉,馬遠村,294,168279,572,503,206.0,261.0,0.7893,215.0,262.0,0.8206,209.0,262.0,0.7977,213.0,261.0,0.8161
72,高雄市,內門區,溝坪里,136,77741,572,509,91.0,242.0,0.376,90.0,245.0,0.3673,91.0,246.0,0.3699,95.0,247.0,0.3846
73,屏東縣,三地門鄉,達來村,49,28098,573,611,59.0,95.0,0.6211,62.0,96.0,0.6458,57.0,95.0,0.6,61.0,95.0,0.6421
74,花蓮縣,光復鄉,大興村,87,49888,573,459,128.0,160.0,0.8,129.0,160.0,0.8063,134.0,159.0,0.8428,129.0,159.0,0.8113
75,臺南市,楠西區,照興里,135,77335,573,461,128.0,305.0,0.4197,122.0,304.0,0.4013,133.0,306.0,0.4346,129.0,306.0,0.4216
76,新北市,瑞芳區,永慶里,92,52687,573,463,60.0,128.0,0.4688,57.0,128.0,0.4453,61.0,128.0,0.4766,62.0,128.0,0.4844
77,屏東縣,林邊鄉,崎峰村,224,128289,573,511,62.0,128.0,0.4844,62.0,128.0,0.4844,62.0,128.0,0.4844,62.0,128.0,0.4844
78,臺南市,白河區,崁頭里,65,37216,573,475,39.0,121.0,0.3223,39.0,120.0,0.325,39.0,121.0,0.3223,39.0,122.0,0.3197
79,宜蘭縣,頭城鎮,合興里,60,34404,573,516,31.0,86.0,0.3605,37.0,86.0,0.4302,39.0,85.0,0.4588,39.0,85.0,0.4588
80,花蓮縣,光復鄉,大豐村,78,44804,574,442,92.0,143.0,0.6434,95.0,141.0,0.6738,93.0,141.0,0.6596,94.0,144.0,0.6528
81,花蓮縣,富里鄉,萬寧村,95,54558,574,500,142.0,174.0,0.8161,147.0,173.0,0.8497,143.0,174.0,0.8218,142.0,174.0,0.8161
82,臺南市,南化區,北平里,83,47722,575,473,77.0,200.0,0.385,78.0,200.0,0.39,77.0,200.0,0.385,74.0,202.0,0.3663
83,彰化縣,芬園鄉,楓坑村,118,67803,575,461,101.0,201.0,0.5025,110.0,202.0,0.5446,103.0,201.0,0.5124,107.0,199.0,0.5377
84,高雄市,內門區,內南里,60,34563,576,499,46.0,100.0,0.46,42.0,101.0,0.4158,47.0,102.0,0.4608,44.0,102.0,0.4314
85,花蓮縣,豐濱鄉,港口村,124,71567,577,482,163.0,226.0,0.7212,157.0,224.0,0.7009,161.0,228.0,0.7061,165.0,227.0,0.7269
86,花蓮縣,光復鄉,東富村,195,112529,577,517,248.0,293.0,0.8464,250.0,291.0,0.8591,254.0,295.0,0.861,255.0,294.0,0.8673
87,嘉義縣,朴子市,南竹里,72,41585,578,473,31.0,197.0,0.1574,33.0,195.0,0.1692,27.0,195.0,0.1385,30.0,194.0,0.1546
88,臺中市,太平區,東汴里,208,120121,578,447,166.0,401.0,0.414,165.0,403.0,0.4094,161.0,400.0,0.4025,163.0,400.0,0.4075
89,屏東縣,霧臺鄉,好茶村,88,50883,578,586,110.0,185.0,0.5946,114.0,184.0,0.6196,112.0,183.0,0.612,117.0,184.0,0.6359
90,花蓮縣,瑞穗鄉,富源村,131,75697,578,462,135.0,203.0,0.665,145.0,205.0,0.7073,143.0,204.0,0.701,151.0,205.0,0.7366
91,南投縣,竹山鎮,福興里,66,38217,579,469,137.0,221.0,0.6199,130.0,216.0,0.6019,136.0,219.0,0.621,130.0,219.0,0.5936
92,宜蘭縣,大同鄉,英士村,49,28361,579,477,76.0,98.0,0.7755,76.0,97.0,0.7835,79.0,98.0,0.8061,79.0,98.0,0.8061
93,苗栗縣,三灣鄉,頂寮村,52,30141,580,481,46.0,73.0,0.6301,46.0,73.0,0.6301,47.0,72.0,0.6528,45.0,72.0,0.625
94,屏東縣,鹽埔鄉,永隆村,84,48693,580,523,63.0,213.0,0.2958,59.0,213.0,0.277,60.0,215.0,0.2791,60.0,215.0,0.2791
95,雲林縣,大埤鄉,吉田村,150,86959,580,468,72.0,239.0,0.3013,83.0,238.0,0.3487,79.0,237.0,0.3333,70.0,238.0,0.2941
96,臺東縣,池上鄉,富興村,55,31875,580,504,86.0,127.0,0.6772,89.0,127.0,0.7008,88.0,125.0,0.704,89.0,127.0,0.7008
97,嘉義縣,梅山鄉,圳北村,90,52161,580,523,73.0,181.0,0.4033,71.0,182.0,0.3901,69.0,183.0,0.377,73.0,180.0,0.4056
98,屏東縣,佳冬鄉,󻕯豐村,320,185467,580,519,73.0,180.0,0.4056,73.0,180.0,0.4056,73.0,180.0,0.4056,73.0,180.0,0.4056
99,臺南市,將軍區,玉山里,121,70338,581,517,48.0,259.0,0.1853,51.0,261.0,0.1954,47.0,262.0,0.1794,54.0,260.0,0.2077
100,,,,,,,,9585.0,19621.0,0.4885,9738.0,19603.0,0.4968,9727.0,19615.0,0.4959,9754.0,19633.0,0.4968
